user,rate,url
99,4,1345836
99,4,0062622
100,3,0133093
100,2,0062622
100,1,1345836
101,2,1345836
101,5,0062622
102,1,0066921
102,1,0068646
102,4,1345836
102,1,0057012
102,5,0062622
102,4,0338013
102,1,0133093
103,4,0062622
103,3,0114709
103,1,0133093
103,2,0266697
104,3,1345836
104,2,0062622
105,1,0062622
105,4,0133093
105,1,1345836
106,5,0062622
106,5,1345836
107,1,1345836
107,5,0062622
108,5,0133093
108,2,0266697
109,4,0062622
109,3,1345836
110,3,0062622
110,5,1345836
111,5,0133093
111,3,0062622
111,5,1345836
112,4,0062622
112,3,1345836
113,4,1345836
113,3,0062622
114,3,0062622
114,4,1345836
114,5,0133093
115,2,1345836
115,3,0266697
116,4,1345836
116,3,0457430
117,4,1345836
117,4,0133093
118,4,0114709
118,3,0457430
118,4,0209144
118,5,1345836
118,3,0435761
118,5,0062622
119,4,0253474
119,5,0062622
119,5,1345836
120,4,0133093
120,4,1345836
121,5,0133093
121,3,0266697
121,3,0057012
121,4,0062622
121,4,1345836
122,4,1345836
122,1,0062622
123,3,0086250
123,2,1345836
123,5,0062622
124,4,0180093
124,2,1375666
124,5,0198781
124,2,0050083
124,3,1345836
125,5,1345836
125,5,0062622
126,3,0062622
126,5,0133093
127,4,0062622
127,4,1345836
128,4,0062622
128,5,0133093
129,1,0076759
129,1,0133093
129,4,0457430
129,1,0109830
130,4,0062622
130,4,1345836
131,4,1345836
131,3,0062622
132,4,0062622
132,5,0133093
133,4,0062622
133,4,0066921
134,3,0457430
134,4,0062622
134,4,0133093
134,3,0057012
134,4,1345836
135,3,0062622
135,3,0338013
136,2,0062622
136,3,1345836
136,4,0133093
137,3,1345836
137,5,0133093
138,5,0114709
138,3,0062622
138,2,1345836
139,3,0062622
139,1,0253474
140,5,0435761
140,4,0133093
140,4,1345836
141,2,0062622
141,5,1345836
142,5,0133093
142,3,1345836
143,3,0457430
143,5,0133093
143,3,1345836
144,4,0057012
144,2,1345836
144,5,0198781
145,4,0062622
145,5,1345836
146,5,0457430
146,2,1345836
146,5,0062622
147,4,0062622
147,5,1345836
148,5,1345836
148,3,0062622
148,5,0133093
148,4,0057012
149,5,0062622
149,2,0457430
150,4,0062622
150,4,1345836
151,2,0266697
151,4,0338013
151,3,0198781
151,3,0457430
151,5,0133093
151,5,0062622
152,3,1345836
152,5,0133093
153,5,0338013
153,5,0133093
153,5,0062622
154,3,1345836
154,3,0062622
155,4,0266697
155,5,1345836
156,4,0062622
156,5,0133093
157,2,0062622
157,3,0435761
157,3,1345836
158,3,1345836
158,2,0066921
159,5,0198781
159,4,1345836
159,5,0062622
160,2,0457430
160,4,0114709
161,5,0133093
161,3,0062622
161,3,1345836
162,4,0114709
162,2,0071562
162,3,1345836
162,2,0062622
163,2,0062622
163,4,1345836
164,4,0062622
164,3,0457430
165,3,1345836
165,4,0062622
166,4,1345836
166,5,0133093
166,5,0457430
167,3,0057012
167,4,0062622
167,5,1345836
168,2,1345836
168,4,0062622
169,3,1375666
169,4,0457430
169,5,0133093
170,1,1345836
170,1,0133093
171,3,0062622
171,3,1345836
172,4,0133093
172,4,1345836
173,4,1345836
173,3,0062622
174,3,1345836
174,3,0062622
175,4,0457430
175,3,0062622
175,5,0133093
176,4,0133093
176,2,1345836
177,5,0133093
177,4,0062622
178,4,1345836
178,3,0062622
179,3,0457430
179,3,0062622
180,5,0062622
180,3,0054215
180,5,1345836
181,5,0457430
181,2,0062622
181,2,1345836
182,3,0180093
182,3,0137523
183,3,1345836
183,2,0062622
184,3,1345836
184,5,0133093
184,4,0062622
185,2,0062622
185,3,1345836
186,4,0062622
186,4,0133093
186,3,0457430
186,3,1345836
187,4,0062622
187,3,1345836
188,4,0062622
188,3,0457430
189,4,0062622
189,4,0435761
190,5,0062622
190,4,1345836
191,5,0062622
191,5,1345836
192,3,0457430
192,3,1345836
192,4,0062622
193,5,1345836
193,2,0062622
194,3,0062622
194,4,1345836
195,4,1345836
195,3,0133093
196,4,1345836
196,3,0062622
197,1,1345836
197,3,0457430
198,5,0209144
198,5,0062622
199,3,1375666
199,4,0057012
199,5,0062622
199,4,0457430
199,4,1345836
200,3,0086250
200,4,0062622
201,4,0062622
201,4,0133093
202,4,1345836
202,3,0062622
203,3,0062622
203,3,0457430
204,5,0057012
204,4,0062622
204,5,1375666
204,4,1345836
204,5,0133093
205,2,0457430
205,3,1345836
206,3,0062622
206,2,1345836
207,4,0066921
207,5,0114709
208,4,0457430
208,5,0133093
209,5,1345836
209,5,0062622
210,1,0062622
210,3,0457430
211,4,1345836
211,3,0062622
212,5,1345836
212,1,0062622
213,5,0133093
213,3,0086250
213,2,0457430
213,5,0198781
214,3,0062622
214,3,1345836
215,4,1345836
215,3,0062622
216,3,0062622
216,5,0133093
217,4,0457430
217,5,0133093
218,4,0086250
218,4,0062622
219,3,1345836
219,4,0062622
220,4,1345836
220,4,0062622
221,5,0133093
221,4,0062622
222,3,0457430
222,4,0062622
222,4,0133093
223,2,1345836
223,1,0062622
224,4,1345836
224,2,0062622
225,4,1345836
225,5,0133093
226,5,0133093
226,5,0114709
226,4,0062622
226,3,1345836
227,3,0180093
227,3,1345836
227,4,0062622
228,4,1345836
228,4,0050083
228,3,0062622
229,3,1345836
229,3,0062622
230,4,0062622
230,3,1345836
231,3,0062622
231,4,1345836
231,4,0435761
232,3,1345836
232,4,0133093
233,4,0066921
233,5,0062622
234,4,0457430
234,5,0137523
235,4,0062622
235,5,0133093
235,4,1345836
236,2,0133093
236,4,0062622
236,3,1345836
237,5,1345836
237,4,0062622
238,4,0133093
238,3,1345836
239,1,1345836
239,2,0062622
240,5,1345836
240,4,0435761
241,4,0457430
241,4,0266697
242,5,0054215
242,5,0062622
243,2,0062622
243,3,1345836
243,1,0057012
244,4,1345836
244,4,0062622
245,3,0457430
245,3,0062622
246,3,1345836
246,2,0062622
246,4,0266697
247,1,1345836
247,5,0086250
248,3,1345836
248,4,0133093
249,3,1345836
249,1,0062622
250,2,0062622
250,4,1345836
251,4,0133093
251,2,0062622
252,1,0062622
252,5,1345836
253,2,1345836
253,4,0266697
253,4,0133093
253,2,0062622
254,3,0062622
254,5,0133093
254,4,1345836
254,5,0066921
255,1,0114709
255,4,1345836
256,1,0062622
256,4,0133093
256,3,0457430
256,3,0180093
257,2,0338013
257,3,0457430
258,3,1345836
258,4,0133093
258,4,0062622
259,3,0266697
259,3,0198781
259,2,1345836
259,2,0114709
260,2,0062622
260,3,1345836
261,3,0062622
261,3,0457430
262,3,1345836
262,4,0062622
263,5,0133093
263,3,1345836
264,3,1345836
264,3,0062622
265,4,0109830
265,1,0133093
266,3,1345836
266,3,0457430
266,3,0062622
267,1,1345836
267,5,0133093
268,3,0062622
268,4,1345836
269,4,0062622
269,3,1345836
270,5,1345836
270,3,0062622
270,3,0057012
270,4,0133093
271,4,1345836
271,4,0062622
272,4,1345836
272,5,0062622
273,4,1345836
273,5,0057012
273,2,0133093
273,5,0062622
274,3,0062622
274,4,0133093
275,1,0054215
275,1,1345836
276,3,1345836
276,3,0062622
276,4,0086250
276,3,0457430
277,4,0457430
277,4,1345836
278,3,1345836
278,4,0114709
279,4,1345836
279,5,0133093
279,3,0062622
280,4,1345836
280,3,0062622
281,3,1345836
281,3,0062622
282,3,0057012
282,4,1345836
282,3,0062622
283,2,0050083
283,1,0133093
283,2,0266697
283,1,0435761
283,3,0062622
284,3,0062622
284,2,1345836
285,4,1345836
285,5,0062622
286,3,1345836
286,2,0133093
287,5,0062622
287,4,1345836
288,2,1345836
288,2,0062622
289,3,0062622
289,5,1345836
290,5,1345836
290,4,0062622
291,1,0435761
291,4,1345836
292,4,0133093
292,3,0114709
292,4,0266697
292,4,0057012
292,3,1345836
292,2,0338013
293,4,1345836
293,4,0133093
293,4,0062622
294,2,1345836
294,5,0133093
295,3,0062622
295,3,1345836
295,3,0180093
295,1,0457430
295,3,0114709
295,4,0266697
295,3,0435761
295,2,0133093
296,5,0066921
296,4,0062622
297,4,0062622
297,3,1345836
298,5,1345836
298,5,0133093
298,4,0435761
299,3,1345836
299,2,0062622
300,4,1345836
300,3,1375666
301,2,1345836
301,2,0133093
302,3,1345836
302,4,0062622
303,3,1345836
303,3,0066921
304,2,0062622
304,3,1345836
305,5,0133093
305,3,1345836
306,4,1345836
306,4,0062622
307,3,0062622
307,4,1345836
308,3,0062622
308,4,1345836
309,5,1345836
309,4,0062622
310,5,0066921
310,4,1345836
310,4,0062622
311,3,0062622
311,4,0338013
312,1,1345836
312,5,0062622
313,3,1345836
313,3,0062622
314,4,0133093
314,4,0062622
314,4,1345836
315,2,1345836
315,2,0062622
316,5,0062622
316,1,0133093
317,2,1345836
317,3,0119698
317,4,0062622
318,4,0062622
318,2,0338013
319,3,0062622
319,5,1345836
320,3,0133093
320,2,0057012
320,3,0062622
320,2,0457430
320,2,1345836
321,3,0062622
321,3,1345836
322,4,1345836
322,4,0062622
323,4,0114709
323,4,0062622
323,3,1345836
324,4,0086250
324,2,1345836
325,2,1345836
325,3,0062622
326,1,0062622
326,2,0457430
327,4,0062622
327,3,0114709
328,5,0133093
328,4,1345836
329,4,0457430
329,5,1345836
329,5,0133093
330,4,0133093
330,3,0062622
331,4,1345836
331,5,0062622
331,4,0057012
332,5,0133093
332,1,0062622
333,5,0133093
333,3,1345836
334,3,0062622
334,1,1345836
334,4,0435761
335,2,0062622
335,2,1345836
335,5,0133093
336,4,0081505
336,4,0062622
337,2,0062622
337,4,1345836
338,3,0133093
338,2,1345836
338,4,0457430
338,3,0137523
338,3,0081505
339,2,0062622
339,3,1345836
339,4,0133093
340,3,1345836
340,4,0062622
341,4,1345836
341,3,0062622
342,3,0114709
342,1,1345836
343,3,0062622
343,3,1345836
344,3,0062622
344,3,1345836
345,3,0457430
345,1,1345836
345,3,0062622
346,3,0062622
346,2,0133093
347,2,1345836
347,5,0062622
348,3,1345836
348,3,0457430
348,3,0062622
349,5,1345836
349,3,0133093
350,5,0133093
350,5,0457430
351,1,0062622
351,5,1345836
351,2,0457430
352,2,0062622
352,3,0133093
353,2,1345836
353,5,0133093
354,4,0062622
354,2,1345836
355,3,0457430
355,4,0062622
355,4,1345836
356,3,0119698
356,4,1345836
357,2,1345836
357,2,0062622
358,3,0062622
358,1,1345836
359,4,0133093
359,5,0457430
359,3,0054215
359,2,1345836
360,3,0266697
360,4,0062622
360,3,0066921
361,5,0119698
361,4,0062622
362,3,1345836
362,3,0062622
363,5,0066921
363,2,1345836
363,4,0062622
363,5,0133093
364,3,0062622
364,5,0066921
365,4,1345836
365,5,0062622
366,4,1345836
366,4,0062622
366,4,0057012
367,3,1345836
367,3,0062622
368,3,0066921
368,5,0062622
368,1,0133093
369,4,0133093
369,4,0062622
370,1,0133093
370,1,1345836
370,2,0457430
371,3,1345836
371,4,0338013
372,1,0062622
372,1,0253474
373,3,0457430
373,4,0133093
374,3,0133093
374,4,0457430
375,4,1345836
375,4,0266697
376,3,1345836
376,2,0054215
377,2,0066921
377,3,1345836
378,5,1345836
378,4,0057012
378,3,0062622
379,4,1345836
379,2,0062622
380,4,1345836
380,3,0057012
380,4,0062622
381,5,0133093
381,3,0457430
381,3,1345836
382,5,0062622
382,2,1345836
383,5,0066921
383,5,0062622
384,2,1345836
384,5,0133093
384,4,0457430
385,2,1345836
385,3,0062622
385,4,0457430
385,5,0133093
386,3,1345836
386,3,0062622
387,1,0062622
387,2,0457430
387,3,1345836
388,4,0062622
388,3,1345836
389,4,1345836
389,4,0062622
390,4,1345836
390,1,0062622
391,3,0457430
391,5,0338013
392,3,1345836
392,1,0062622
392,4,0457430
393,5,1345836
393,1,0062622
394,5,0133093
394,5,1345836
395,1,0057012
395,1,0253474
395,2,1345836
395,1,0435761
395,2,0062622
395,2,0266697
396,5,0133093
396,3,1345836
396,3,0062622
397,3,1345836
397,3,0266697
398,3,1345836
398,4,0062622
398,3,0457430
399,2,1201607
399,3,1345836
399,5,0062622
400,3,0062622
400,5,0133093
400,5,1345836
400,4,0457430
401,2,1345836
401,5,0062622
402,2,1345836
402,3,0457430
403,3,0457430
403,5,0133093
404,3,0076759
404,4,0457430
404,4,0133093
404,3,1345836
404,3,0081505
404,2,0062622
405,3,0062622
405,4,1345836
405,3,1375666
406,5,0133093
406,2,0180093
406,5,0114709
407,4,0457430
407,2,0062622
407,3,1345836
408,3,0062622
408,5,1345836
409,2,0062622
409,5,0133093
410,4,0457430
410,4,0133093
411,3,0062622
411,3,1345836
412,4,0457430
412,1,1345836
413,3,0062622
413,5,0133093
414,4,0057012
414,3,1345836
414,5,0062622
415,2,0062622
415,3,0054215
416,5,0133093
416,2,0057012
416,5,1345836
416,3,0062622
417,3,1345836
417,1,0062622
418,3,1345836
418,4,0457430
419,1,0062622
419,4,1345836
419,4,0457430
419,3,0057012
420,5,1345836
420,5,0062622
420,5,0057012
421,5,0457430
421,4,0133093
422,4,0457430
422,4,1345836
423,4,1345836
423,3,0062622
423,5,0435761
424,5,1345836
424,2,0062622
425,1,0062622
425,4,0457430
425,3,1345836
426,5,0198781
426,3,0338013
427,3,0062622
427,5,1345836
428,4,1345836
428,2,0062622
429,4,0457430
429,2,1345836
429,5,0133093
429,4,0114709
429,3,0209144
429,1,0062622
430,4,0133093
430,2,0457430
431,4,1345836
431,1,0062622
432,3,0062622
432,4,1345836
433,5,1345836
433,5,0133093
434,2,0457430
434,5,0266697
434,3,1345836
434,4,0050083
434,4,0062622
435,4,1345836
435,3,0062622
436,4,1345836
436,5,0133093
437,5,0133093
437,3,1345836
437,5,0062622
438,4,0054215
438,4,0081505
438,3,0050083
439,5,1345836
439,4,0062622
440,3,0066921
440,3,1345836
440,4,0062622
441,4,0457430
441,2,0050083
441,5,0133093
442,5,1220719
442,4,1345836
442,3,0062622
443,4,0133093
443,3,0062622
444,4,1345836
444,4,0086250
445,3,0062622
445,4,0457430
446,4,1345836
446,5,0062622
447,3,1345836
447,5,0068646
448,3,0062622
448,5,0133093
448,5,1345836
449,4,0133093
449,5,0457430
450,4,0066921
450,3,0062622
450,5,0114709
450,1,1345836
451,1,0062622
451,4,1345836
452,4,1345836
452,5,0062622
453,2,1375666
453,1,1345836
454,2,1345836
454,2,0062622
455,4,0066921
455,4,1345836
456,1,1345836
456,4,0457430
457,4,0062622
457,4,1345836
458,3,1345836
458,3,0050083
459,4,0062622
459,3,0114709
459,4,1345836
460,5,0050083
460,3,1345836
460,5,0062622
461,4,0133093
461,4,0268978
462,3,0062622
462,5,1345836
463,3,0062622
463,3,1345836
464,3,0062622
464,1,1345836
464,2,0457430
464,3,0133093
465,4,0062622
465,5,0133093
465,5,1345836
466,3,1220719
466,2,0133093
466,2,1345836
467,3,0062622
467,4,0457430
468,4,0133093
468,3,1345836
469,5,0133093
469,3,0062622
470,5,0133093
470,5,0062622
471,3,0062622
471,3,1345836
472,4,0062622
472,5,0133093
473,4,1345836
473,2,0062622
474,2,1345836
474,3,0435761
475,4,0062622
475,4,1345836
476,5,0133093
476,3,0062622
477,4,0457430
477,2,0062622
478,2,0062622
478,3,1345836
478,5,0133093
479,5,0057012
479,3,0266697
479,3,0133093
479,4,1345836
480,5,0435761
480,3,0457430
481,4,0457430
481,2,1345836
482,1,0062622
482,2,1345836
482,4,0266697
483,4,1375666
483,4,1345836
483,5,0133093
483,4,0062622
483,4,0057012
483,4,0457430
484,4,0066921
484,5,0062622
485,3,1345836
485,2,0062622
486,4,0062622
486,4,1345836
486,3,0457430
486,5,0133093
487,3,1345836
487,3,0062622
488,4,0062622
488,4,1345836
489,3,0057012
489,3,0062622
489,4,0133093
489,4,1345836
490,3,0062622
490,2,1345836
491,5,0062622
491,3,0457430
492,4,0457430
492,4,0266697
493,5,0057012
493,4,0114709
493,5,0062622
493,4,1345836
494,3,1345836
494,4,0062622
494,4,0253474
495,4,0435761
495,5,0133093
495,2,0062622
495,3,0457430
496,4,0062622
496,4,1345836
497,3,0435761
497,3,0062622
498,4,0062622
498,5,0133093
499,5,0133093
499,1,0062622
500,5,0062622
500,3,0133093
500,5,1345836
501,4,1345836
501,5,0338013
501,4,0062622
502,3,0114709
502,3,0057012
503,4,1345836
503,3,0062622
504,4,1345836
504,2,0457430
505,3,0457430
505,4,0062622
505,4,0057012
505,4,1345836
506,1,0133093
506,1,1345836
507,4,1345836
507,5,0062622
508,4,0062622
508,5,0338013
508,5,0133093
509,2,0062622
509,4,1345836
510,4,0266697
510,2,0062622
511,3,1345836
511,3,0066921
512,4,1345836
512,4,0062622
512,4,0086250
513,5,0062622
513,5,1345836
514,5,0062622
514,5,0133093
515,4,0066921
515,4,0062622
515,2,1345836
516,2,0062622
516,3,0457430
516,3,1345836
517,4,0062622
517,5,1345836
518,5,1345836
518,5,0062622
519,2,0062622
519,5,0133093
520,5,0133093
520,3,0062622
520,3,0253474
520,4,1345836
521,1,0054215
521,3,0081505
521,3,0457430
521,5,0114709
522,3,1345836
522,4,0062622
523,4,0133093
523,3,1345836
524,2,0133093
524,5,1345836
525,4,0253474
525,4,1345836
526,5,0062622
526,5,1345836
527,5,0133093
527,5,0062622
527,5,1345836
528,4,0133093
528,3,0062622
528,2,1345836
529,5,1345836
529,3,0057012
530,4,1345836
530,3,0062622
531,3,0062622
531,3,1345836
531,4,0133093
532,3,1345836
532,3,0062622
533,2,0457430
533,3,1345836
534,3,0062622
534,5,0133093
535,5,0133093
535,4,0338013
536,2,0457430
536,4,1345836
537,3,1345836
537,3,0062622
538,2,1345836
538,2,0457430
539,1,0137523
539,4,0457430
539,3,1345836
540,3,0457430
540,3,1345836
541,5,1345836
541,3,0266697
542,4,0062622
542,3,1345836
542,3,0253474
543,5,1345836
543,4,0253474
544,4,0086250
544,5,0457430
545,4,1345836
545,4,0062622
546,5,0133093
546,5,1345836
546,5,0062622
546,3,0457430
547,4,1345836
547,5,0435761
548,4,1345836
548,3,0062622
549,2,0062622
549,2,1345836
549,5,0133093
549,4,0457430
550,4,1345836
550,4,0066921
551,5,1345836
551,3,0062622
551,3,1853728
551,4,0114709
551,5,0057012
551,3,0209144
552,4,1345836
552,4,0062622
553,4,0062622
553,4,1345836
553,4,0066921
554,5,1345836
554,4,0062622
554,3,0457430
554,3,1675434
555,4,1345836
555,4,0062622
556,2,1345836
556,4,0133093
556,4,0062622
557,3,0057012
557,3,0457430
557,3,1345836
558,1,0062622
558,4,0133093
559,3,0062622
559,5,0133093
560,3,0062622
560,4,0114709
561,5,1345836
561,5,0066921
561,5,0133093
561,3,0062622
562,1,0198781
562,1,1345836
562,1,0062622
562,1,0081505
562,4,0457430
562,4,0114709
563,4,0457430
563,3,0057012
563,5,1345836
563,4,0133093
563,4,0062622
564,5,1345836
564,1,0062622
565,3,0457430
565,5,0133093
565,2,1345836
565,5,0062622
566,4,1345836
566,4,0133093
567,4,1345836
567,4,0062622
568,2,1345836
568,4,0457430
569,4,1345836
569,3,0062622
569,3,0457430
569,4,0066921
570,3,1345836
570,3,0457430
571,3,0057012
571,3,1345836
572,4,1345836
572,3,0054215
573,2,1345836
573,1,0062622
574,4,0114709
574,3,0180093
574,4,0062622
574,5,1345836
575,5,0133093
575,4,0062622
576,4,0062622
576,5,0133093
576,5,0114709
577,5,0133093
577,4,1345836
578,4,1345836
578,2,0062622
578,5,0133093
579,4,0062622
579,2,1345836
580,2,0114709
580,4,1345836
580,3,0057012
580,4,0062622
581,2,0057012
581,5,1345836
582,4,0457430
582,1,1345836
582,4,0133093
583,2,0457430
583,2,0062622
583,3,1345836
584,3,0062622
584,4,1345836
585,1,0435761
585,3,0062622
586,4,1345836
586,3,0062622
587,4,0066921
587,4,1345836
587,3,0086250
587,3,0062622
587,4,0457430
588,1,0457430
588,3,1345836
588,3,0057012
588,3,0066921
589,3,1345836
589,4,0062622
590,4,1345836
590,3,0133093
591,3,1345836
591,4,0457430
592,3,1345836
592,3,0457430
593,4,0133093
593,3,0062622
593,3,0457430
593,3,1345836
594,3,0435761
594,3,1345836
595,1,1345836
595,2,0062622
595,3,0133093
596,4,0435761
596,3,0062622
597,4,1345836
597,3,0062622
598,3,0114709
598,2,1345836
599,4,0066921
599,4,1345836
600,2,0062622
600,2,1345836
601,4,1345836
601,4,0062622
602,2,1345836
602,4,0062622
603,3,0133093
603,4,0114709
603,1,0062622
603,1,1345836
603,3,0119698
603,4,0266697
604,2,1345836
604,4,0062622
605,5,0435761
605,3,1345836
606,2,0062622
606,3,0081505
607,4,1345836
607,4,0253474
607,4,0062622
607,4,0066921
607,3,0081505
607,4,0266697
608,3,0062622
608,4,1345836
609,5,0457430
609,4,1345836
610,4,0457430
610,2,0435761
611,3,1345836
611,5,0062622
612,3,0062622
612,4,0457430
612,3,0057012
612,3,1345836
612,3,0050083
613,3,1345836
613,1,0457430
614,3,0062622
614,2,1345836
615,4,0114709
615,1,1345836
615,5,0133093
615,3,0457430
615,3,0209144
616,5,0133093
616,1,1345836
617,3,0062622
617,5,0133093
618,2,0076759
618,5,0133093
619,3,0062622
619,3,0066921
619,4,0266697
619,4,1345836
620,2,0062622
620,1,1345836
621,4,0062622
621,4,1345836
622,4,0457430
622,4,0133093
623,4,1345836
623,4,0062622
624,3,1345836
624,4,0198781
624,3,0062622
624,4,0133093
625,2,0062622
625,2,0435761
625,4,1345836
626,1,0054215
626,1,0057012
626,4,0457430
626,1,1345836
627,4,1345836
627,5,0198781
627,3,0057012
628,5,0266697
628,3,1345836
629,3,0076759
629,5,0198781
629,2,1345836
629,4,0133093
630,2,0062622
630,5,1345836
631,4,0062622
631,5,1345836
632,4,0133093
632,4,0062622
632,3,1345836
633,2,0180093
633,3,1345836
633,4,0457430
634,3,0062622
634,3,1345836
635,5,0062622
635,5,0133093
635,4,0066921
635,5,0209144
636,1,0062622
636,3,1345836
636,5,0133093
637,5,0133093
637,3,0062622
638,5,1345836
638,3,0062622
639,4,1345836
639,4,0057012
640,1,1345836
640,4,0133093
641,3,1345836
641,1,0062622
642,1,0062622
642,4,0133093
642,4,1345836
643,3,0062622
643,2,1345836
644,2,0057012
644,4,0062622
644,4,1345836
645,2,0062622
645,2,1345836
646,3,1345836
646,2,0062622
647,2,1345836
647,3,0457430
647,2,0062622
648,3,0062622
648,5,0133093
649,2,1345836
649,5,0133093
650,3,1345836
650,1,0057012
651,4,1345836
651,4,0062622
652,4,0180093
652,3,1345836
653,4,1345836
653,2,0054215
654,3,0054215
654,4,0457430
655,4,1345836
655,4,0133093
656,3,0062622
656,5,0133093
657,3,1345836
657,3,0062622
658,3,1345836
658,4,0062622
659,2,0054215
659,4,1345836
660,4,0062622
660,3,1345836
660,3,0057012
661,3,0338013
661,4,0062622
662,3,0062622
662,3,1345836
663,5,1345836
663,2,0062622
664,2,1345836
664,3,0062622
665,3,1345836
665,4,0266697
665,3,0057012
665,3,0062622
666,3,0062622
666,2,1345836
667,2,0062622
667,3,1345836
667,5,0133093
668,3,1345836
668,3,0062622
669,2,0253474
669,4,0062622
670,3,0266697
670,5,0133093
670,4,0114709
670,4,0062622
671,2,0209144
671,5,0133093
671,2,0457430
671,2,0062622
672,4,1345836
672,3,0062622
673,2,1345836
673,2,0457430
674,5,0066921
674,5,0062622
675,4,0062622
675,3,1345836
676,4,0133093
676,2,1345836
677,2,1345836
677,4,0133093
677,1,0062622
678,1,0057012
678,1,0062622
679,4,0062622
679,2,0054215
680,3,0062622
680,2,0457430
680,1,0133093
680,3,0057012
680,5,0266697
681,4,0457430
681,4,0137523
681,3,0435761
682,4,0062622
682,3,1345836
682,2,0081505
683,4,0062622
683,3,1345836
684,5,0057012
